,Texto,sentimiento
149,la vacuna no se vence aullo una de las del gobierno1 todo medicamento tiene mes y ano de vencimiento en el envase2 respecto de la vacuna covid-19 lo que ademas se vence es su efecto en el organismo sea porque le falta la otra dosis o necesita reforzar la primera,Negativo
150,en donde dice que tenes que subir una foto a las redes de que te pusieron la vacuna de covid-19 🤔,Negativo
151,"tengo turno asignado para vacuna covid,no confio en las vacunas me dan razones para ir o no ir gracias",Positivo
152,"llegaron vacuna espero que lo llamen a marido para la segunda, yo espero sputnik algun dia seraesta semana se cumple un ano de haber pasado el calvario del covid, 15 dias que vivimos en terror en fin",Positivo
153,"avanza el plan de vacunacion mas importante de la provinciaa partir del mediodia, inscripciones abiertas para personas de 35 a 39 anos sin factores de riesgo que quieran recibir la vacuna contra el covid-19",Negativo
154,macri dijo que en estados unidos en los kioscos se vendia la vacuna sobre el covid  por que en estados unidos no venden en los kioscos la vacuna del covid-19 estan perdiendo en las encuestas y sale hablar boludeces,Negativo
155,"desde el momento que cuestionan datos de la vacuna o tienen dudas a largo plazo, es suficiente como para no inocularme prefiero arriesgarme a ser parte del 2% de los muertos de covid-19, ya que tengo mas % de probabilidades de pegarme un palo en el auto cada vez que salgo",Negativo
156,no es covid es la vacuname habian recomendado paracetamolte hago caso 👍🏼👍🏼👍🏼,Positivo
157,"140705             te diria q verifiques lo q decis, mas si vas a ponerte en una actitud soberbia de juzgar q el resto no sabe algo ninguna vacuna para el covid en el mundo esta aprobada estan autorizadas para su uso de emergergencia, sin responsabilidad legal ni inmunidad garantizada",Positivo
158,"en tw en diarios tv etc etc aca en este pais parece que la mayoria cursaron infectologia🙄la verdad en mi vida preg d donde vienen tal o cual vacuna somos unos privilegiados x recibir hoy esta vacuna, yo no quiero mas muerte x covid, si quiero + fotos de personas vacunandose",Negativo
159,presidente de la nacion: vacuna covid para menores con discapacidad      - firma la peticion  via,Negativo
160,"1  otra vez, algo diferente de esta vacuna covid son jeringas prellenadas",Negativo
161,por favor mi madre de 86 anos hace ya mas de 3 meses que le aplicaron la primera dosis de vacuna covid y aun sin respuesta sobre la segunda dosis - y no se aplica la de la gripe esperando no se superpongan,Positivo
162,"hoy es un dia de mucha alegria y esperanza para todos y todas, porque mas de 100000 vecinos y vecinas de pilar ya recibieron la vacuna contra el covid-19 estamos dando un paso muy importante para volver a encontrarnos y salir adelante sigamos combatiendo al virus",Positivo
163,"👉🏻🇦🇷 hoy es un dia de mucha alegria y esperanza para todos y todas, porque mas de 100000 vecinos y vecinas de pilar ya recibieron la vacuna contra el covid-19 estamos dando un paso muy importante para volver a encontrarnos y salir adelante sigamos combatiendo al virus",Positivo
164,"pero no compraron pfizer, unica vacuna probada en embarazadasesto si es cruel, ojala algun dia, todos uds lo paguen, como sea, pero lo paguenfallecio de covid-19 la mujer de 34 anos que estaba embarazada",Negativo
165,la vacuna contra el covid me esta matando lentamente,Negativo
166,"gente, ante todos los mensajes que recibi para que los ayude a registrarse para la vacuna de covid-19, voy a estar ayudandolos hasta las 13hs😊 manden al privado que tengan lindo dia",Positivo
167,"que se jodan, el covid no perdonani se fija si confias en la vacuna o no",Negativo
168,_visir una picadura de mosquito duele mas que la vacuna del covid,Negativo
